Ano de lancamento,Classificacao,Desenvolvedora,Genero,Media de pontuacao,Nome,Plataforma,Publicadora,Vendas globais
2002,2,36,6,48.25,Medal of Honor: Frontline,6,7,6.83
2003,0,226,0,44.5,Mario Golf: Toadstool Tour,19,0,1.53
2004,0,162,0,45.05,NBA Ballers,13,39,0.51
2002,1,641,8,29.0,Legion: The Legend of Excalibur,6,39,0.22
2011,2,742,6,20.75,Blackwater,4,11,0.12
2010,1,264,8,40.9,Mafia II,4,2,1.55
2011,3,195,8,34.55,The Adventures of Tintin: The Game,4,5,0.24
2005,1,1631,6,26.05,Starship Troopers,14,87,0.02
2003,0,43,1,40.05,Banjo-Kazooie: Grunty's Revenge,8,28,0.33
2016,0,762,8,44.45,TrackMania Turbo,9,5,0.35
2008,3,565,6,25.65,NPPL: Championship Paintball 2009,4,59,0.12
2002,0,476,5,27.0,Barbie Groovy Games,8,20,0.56
2001,2,593,6,29.2,Star Trek: Voyager Elite Force,6,34,0.15
2005,0,223,0,43.15,EyeToy: Kinetic,6,3,0.17
2013,1,576,6,41.2,Payday 2,14,11,0.05
2010,3,171,2,36.1,nail'd,5,41,0.12
2004,1,337,10,34.2,Leisure Suit Larry: Magna Cum Laude,13,23,0.17
2005,1,32,8,28.6,Death By Degrees,6,3,0.1
2011,2,168,8,37.0,Need for Speed: The Run,4,7,1.36
2013,1,529,6,33.6,Defiance,4,149,0.57
2005,1,516,8,42.8,Mortal Kombat: Shaolin Monks,6,39,0.69
2000,2,453,2,27.8,007 Racing,12,7,0.53
2016,1,1532,3,44.55,Deus Ex: Mankind Divided,14,15,0.03
2003,2,379,9,41.45,Naruto: Clash of Ninja 2,19,0,1.04
2015,2,581,3,44.2,Bravely Second: End Layer,10,0,0.49
2001,2,1052,11,44.95,Stronghold,14,212,0.11
2005,2,548,2,38.55,Juiced,13,28,0.18
2013,3,182,1,44.1,LEGO City Undercover,18,0,1.1
2005,0,564,0,45.6,College Hoops 2K6,13,2,0.1
2009,2,29,1,44.55,Mirror's Edge,14,7,0.06
2010,0,57,0,44.55,Madden NFL 11,5,7,2.38
2005,0,573,0,37.4,Top Spin,6,2,0.1
2016,2,18,0,42.6,EA Sports UFC 2,9,7,0.93
2006,0,276,0,34.95,Major League Baseball 2K6,4,130,0.37
2008,2,188,8,28.0,Dynasty Warriors: Gundam 2,4,25,0.19
2012,2,666,8,28.75,Top Gun: Hard Lock,4,11,0.06
2008,1,1011,10,26.2,Alone in the Dark,6,10,0.06
2011,2,997,7,35.7,Air Conflicts: Secret Wars,14,278,0.03
2011,2,833,6,41.85,World of Tanks,14,223,0.29
2001,0,281,5,38.45,Fuzion Frenzy,13,1,1.21
2009,2,60,5,31.85,Guitar Hero: Van Halen,5,4,0.27
2002,0,250,10,29.6,"Monsters, Inc.",6,3,0.32
2011,3,12,5,26.15,Family Feud: 2012 Edition,4,5,0.1
2015,2,534,10,44.95,Brothers: A Tale of Two Sons,17,11,0.04
2011,3,242,5,22.3,Wipeout: In The Zone,4,4,0.93
2005,1,119,8,38.1,The Punisher,6,28,0.52
2006,0,317,6,42.25,Gradius Collection,16,14,0.06
2005,0,258,0,43.55,SSX On Tour,16,7,0.23
2006,2,537,8,36.6,Samurai Champloo: Sidetracked,6,25,0.05
2005,2,195,8,43.75,Peter Jackson's King Kong: The Official Game of the Movie,4,5,0.26
2003,1,330,8,39.35,Legacy of Kain: Defiance,14,21,0.01
2015,2,325,9,34.2,JoJo's Bizarre Adventure: Eyes of Heaven,9,25,0.03
2012,1,48,8,45.25,Resident Evil: Revelations,10,12,0.88
2005,2,1286,0,43.25,Fire Pro Wrestling Returns,6,11,0.09
2016,2,567,3,50.45,Odin Sphere: Leifthrasir,22,131,0.14
2005,1,400,6,45.95,TimeSplitters: Future Perfect,13,7,0.16
2006,0,57,0,45.6,Madden NFL 07,19,7,0.62
2011,1,1205,6,28.85,Bodycount,4,34,0.11
2003,2,52,8,41.9,Prince of Persia: The Sands of Time,8,5,0.15
2004,2,163,7,32.6,Armored Core: Nine Breaker,6,11,0.07
2016,2,1594,8,29.95,Anima - Gate of Memories,9,194,0.02
2002,0,56,10,37.0,Herdy Gerdy,6,21,0.22
2014,1,755,8,32.95,Murdered: Soul Suspect,9,15,0.32
2004,2,65,8,39.25,Forgotten Realms: Demon Stone,13,10,0.09
2007,0,1202,4,30.55,Cake Mania,3,35,0.11
2003,2,105,8,40.8,Indiana Jones and the Emperor's Tomb,13,18,0.18
2003,1,378,8,45.1,Fatal Frame II: Crimson Butterfly,6,5,0.16
2005,0,0,2,49.8,Mario Kart DS,3,0,23.21
2009,0,285,5,36.2,Trivial Pursuit,4,7,0.37
2011,3,536,2,23.7,Asphalt 3D,10,5,0.49
2013,0,294,2,42.8,F1 2013,4,34,0.3
2003,2,236,3,43.85,Star Ocean: Till The End of Time,6,5,1.72
2005,2,321,3,42.9,Champions: Return to Arms,6,75,0.65
2002,2,476,1,20.8,Shrek Extra Large,19,71,0.17
2003,1,3,8,51.4,Grand Theft Auto: Vice City,14,2,0.04
2014,2,685,3,35.0,Tokyo Twilight Ghost Hunters,22,389,0.07
2004,0,650,2,28.0,The Dukes of Hazzard: Return of the General Lee,13,5,0.08
2015,3,247,8,32.15,Mobile Suit Gundam: Extreme VS Force,22,25,0.17
2006,0,57,0,36.45,NFL Head Coach,6,7,0.45
2003,2,969,11,43.1,Praetorians,14,21,0.04
2014,3,558,10,32.65,Pac-Man and the Ghostly Adventures 2,5,25,0.09
2006,2,105,8,27.4,The Da Vinci Code,13,2,0.04
2007,3,641,8,19.9,Fantastic Four: Rise of the Silver Surfer,3,2,0.04
2007,2,22,6,41.3,Medal of Honor: Airborne,5,7,1.21
2011,3,12,11,24.65,Combat of Giants: Dinosaurs 3D,10,5,0.39
2001,0,39,2,36.15,Test Drive Off-Road Wide Open,13,52,0.18
2003,0,371,1,36.3,Mega Man Network Transmission,19,12,0.17
2001,1,596,8,37.4,Extermination,6,3,0.55
2001,2,435,1,49.75,Castlevania: Circle of the Moon,8,14,0.89
2009,2,1547,11,36.35,East India Company,14,310,0.02
2005,2,143,6,43.45,Star Wars: Republic Commando,13,4,0.67
2003,2,829,3,36.2,Pirates of the Caribbean,13,5,0.29
2008,2,35,9,30.15,FaceBreaker,4,7,0.19
2006,0,167,2,39.7,Cars,6,28,1.21
2010,2,31,6,44.3,Red Steel 2,0,5,0.62
2005,1,729,7,32.55,Playboy: The Mansion,13,5,0.09
2000,0,281,10,40.6,Chicken Run,12,21,0.13
2007,3,375,0,10.9,Balls of Fury,0,84,0.02
2005,1,224,8,27.95,50 Cent: Bulletproof,13,23,0.44
2012,0,294,2,45.45,F1 2012,4,34,0.49
2011,1,586,6,40.7,"Warhammer 40,000: Space Marine",14,28,0.2
2005,2,233,8,50.05,Shadow of the Colossus,6,3,1.14
2014,1,320,3,38.35,The Elder Scrolls Online,14,6,0.9
2001,0,413,2,41.3,Le Mans 24 Hours,6,52,0.2
2009,1,549,6,40.65,Wolfenstein,14,4,0.05
2000,0,12,1,49.1,Rayman 2: Revolution,6,5,0.3
2009,1,534,6,44.0,The Chronicles of Riddick: Assault on Dark Athena,14,23,0.01
2008,2,690,3,39.1,Mana Khemia 2: Fall of Alchemy,6,243,0.2
2002,0,139,2,42.95,Burnout,19,30,0.3
2012,3,67,8,43.45,Skylanders Giants,18,4,0.37
2007,0,87,5,31.5,Flash Focus: Vision Training in Minutes a Day,3,0,3.83
2005,2,943,3,41.1,Steambot Chronicles,6,11,0.04
2012,0,0,7,48.35,Animal Crossing: New Leaf,10,0,9.16
2004,3,130,0,44.85,Hot Shots Golf: Open Tee,16,3,1.96
2004,0,80,8,36.35,Spider-Man 2,8,4,1.06
2011,0,180,1,42.65,Sonic Generations,14,8,0.11
2009,3,230,3,40.45,Dragon Ball Z: Attack of the Saiyans,3,25,0.36
2016,0,1619,7,22.7,RollerCoaster Tycoon World,14,10,0.02
2006,2,80,5,39.5,Capcom Classics Collection Remixed,16,12,0.3
1999,0,393,11,40.05,Saiyuki: Journey West,12,48,0.05
2010,1,606,6,42.45,Metro 2033,4,28,0.54
2008,0,69,0,37.75,MLB Power Pros 2008,6,14,0.15
2011,0,102,1,49.7,LittleBigPlanet 2,5,3,3.39
2008,1,258,6,40.65,Army of Two,5,7,1.17
2010,2,612,9,46.9,Tatsunoko vs. Capcom: Ultimate All-Stars,0,12,0.53
2011,3,103,5,33.5,Rio,4,28,0.09
2011,2,48,9,42.6,Ultimate Marvel vs. Capcom 3,4,12,0.07
2002,2,12,2,26.5,Monster Jam: Maximum Destruction,6,5,0.65
2003,2,149,8,48.35,Tom Clancy's Splinter Cell,6,5,2.65
2011,1,454,6,27.95,Duke Nukem Forever,5,2,0.76
2002,0,458,2,38.15,Need for Speed: Hot Pursuit 2,19,7,0.8
2003,0,505,5,39.95,FunkMaster Flex's Digital Hitz Factory,6,133,0.04
2010,3,48,10,44.95,OkamiDen,3,12,0.43
2006,2,728,2,40.15,FlatOut 2,13,87,0.04
2010,1,908,3,39.9,Divinity II: The Dragon Knight Saga,4,82,0.13
2008,2,188,8,26.05,Warriors Orochi 2,4,48,0.06
2015,2,230,3,46.45,Xenoblade Chronicles X,18,0,0.84
2009,3,273,0,41.1,The BIGS 2,4,2,0.21
2005,0,35,0,43.8,NBA Live 06,16,7,0.42
2010,2,242,0,32.7,Cabela's Dangerous Hunts 2011,5,4,0.33
2004,2,789,9,30.85,UFC: Sudden Impact,6,63,0.18
2011,3,0,8,50.5,The Legend of Zelda: Skyward Sword,0,0,3.95
2004,2,227,6,44.45,Tom Clancy's Ghost Recon 2,13,5,1.36
2009,3,50,8,39.2,LEGO Indiana Jones 2: The Adventure Continues,4,4,1.02
2005,2,298,8,43.0,Project: Snowblind,13,21,0.11
2003,0,22,0,48.9,NBA Street Vol. 2,13,7,0.68
2002,2,400,6,49.4,TimeSplitters 2,6,21,0.7
2007,3,186,8,31.05,Shrek the Third,6,4,0.48
2005,2,476,6,49.7,Battlefield 2,14,7,0.08
2013,1,33,8,52.05,The Last of Us,5,16,5.87
2015,1,81,3,50.1,The Witcher 3: Wild Hunt,17,25,1.31
2011,0,294,2,45.55,F1 2011,4,34,0.72
2014,3,18,0,31.8,NHL 15,9,7,0.6
2014,3,182,8,40.55,Lego Batman 3: Beyond Gotham,17,19,0.43
2008,3,973,8,33.0,Madagascar: Escape 2 Africa,14,4,0.01
2014,1,127,6,46.2,Titanfall,17,7,2.95
2010,1,378,6,24.15,Quantum Theory,5,48,0.19
2009,2,242,6,33.6,Jurassic: The Hunted,4,4,0.13
2010,0,69,0,41.7,pro evolution soccer 2011,0,14,0.22
2011,1,575,10,39.05,Alice: Madness Returns,4,7,0.5
2005,3,12,8,40.25,Star Wars Episode III: Revenge of the Sith,8,5,0.72
2007,0,83,0,43.6,College Hoops 2K8,5,2,0.14
2010,3,243,8,40.0,Spider-Man: Shattered Dimensions,3,4,0.19
2015,2,188,8,32.25,Bladestorm: Nightmare,9,48,0.17
2007,0,410,1,33.0,Nicktoons: Attack of the Toybots,0,28,0.43
2006,2,29,6,43.4,Battlefield 2142,14,7,0.03
2003,2,483,1,35.3,Vexx,6,30,0.24
2016,3,1086,8,40.55,LEGO Harry Potter Collection,9,19,0.15
2016,1,253,10,40.0,Until Dawn: Rush of Blood,9,3,0.39
2008,0,661,1,19.5,George of the Jungle and the Search for the Secret,0,153,0.02
2006,0,39,0,44.4,Rockstar Games presents Table Tennis,4,2,0.75
2006,0,565,0,24.5,Rapala Tournament Fishing!,4,4,0.03
2016,3,364,6,44.35,Plants vs. Zombies: Garden Warfare 2,9,7,0.49
2002,2,831,8,25.0,Superman: The Man of Steel,13,10,0.13
2004,0,83,0,46.85,ESPN NBA 2K5,13,63,0.95
2001,2,60,0,52.25,Tony Hawk's Pro Skater 3,6,4,4.41
2004,0,0,1,46.3,Classic NES Series: Super Mario Bros.,8,0,1.43
2003,2,543,1,34.3,X2: Wolverine's Revenge,19,4,0.12
2003,0,249,0,44.4,Wakeboarding Unleashed Featuring Shaun Murray,13,4,0.05
2005,1,181,8,33.9,True Crime: New York City,13,4,0.28
2011,2,722,3,40.5,Pandora's Tower,0,0,0.31
2011,2,12,10,27.0,NCIS,5,5,0.12
2008,2,724,8,16.15,Jumper: Griffin's Story,4,21,0.06
2002,0,719,2,45.1,Sega GT 2002,13,8,0.19
2006,1,52,6,42.1,Far Cry Instincts Predator,4,5,0.24
2004,0,103,1,34.0,Spyro: A Hero's Tail,6,23,0.64
2001,2,801,8,14.9,KISS Pinball,12,2,0.31
2005,2,32,3,39.85,Tales of Legendia,6,25,0.49
2002,2,32,6,32.65,Ninja Assault,6,25,0.11
2014,1,78,3,46.8,South Park: The Stick of Truth,14,5,0.19
2011,0,443,7,31.0,Cooking Mama 4: Kitchen Magic!,10,11,0.61
2004,2,496,9,40.25,Guilty Gear Isuka,6,11,0.1
2001,0,1035,1,35.7,Woody Woodpecker: Escape from Buzz Buzzard Park,6,319,0.05
2008,3,525,8,27.5,Ninja Reflex,0,7,0.12
2006,1,436,6,48.0,Syphon Filter: Dark Mirror,16,3,0.29
2010,1,6,6,46.65,Call of Duty: Black Ops,4,4,14.61
2003,0,276,0,48.2,ESPN NHL Hockey,13,8,0.11
2006,0,0,0,42.0,Wii Sports,0,0,82.53
2002,0,256,2,34.0,Riding Spirits,6,176,0.26
2014,2,810,9,29.05,Dragon Ball Z: Battle of Z,4,25,0.07
2003,0,172,1,39.45,SpongeBob SquarePants: Battle for Bikini Bottom,13,28,0.57
2015,1,407,6,40.15,Evolve,9,2,0.96
2014,1,1023,8,39.1,Deception IV: Blood Ties,5,48,0.11
2015,0,159,5,45.15,Art Academy: Home Studio,18,0,0.01
2010,2,496,9,47.5,BlazBlue: Continuum Shift,5,148,0.41
2002,0,83,0,48.8,NBA 2K2,13,8,0.2
2010,1,154,6,40.35,Medal of Honor,4,7,2.61
2005,2,1196,6,32.75,GoldenEye: Rogue Agent,3,7,0.11
1999,2,32,9,53.4,SoulCalibur,21,25,0.34
2001,0,74,5,43.15,Namco Museum,8,25,4.24
2013,1,1009,10,46.1,Steins;Gate,22,148,0.1
2007,1,376,6,38.8,Halo 2,14,1,0.09
2004,0,507,8,27.6,Power Rangers: Dino Thunder,6,28,0.71
2011,3,1025,2,23.85,Ridge Racer,22,25,0.17
2015,2,188,8,38.7,Dynasty Warriors 8: Empires,22,48,0.02
2006,0,48,5,42.1,Mega Man X Collection,19,12,0.13
2008,2,58,5,49.45,Rock Band 2,5,31,1.49
2004,0,0,10,49.0,Metroid: Zero Mission,8,0,0.84
2004,2,400,10,42.0,Second Sight,6,34,0.14
2002,2,65,8,43.55,The Lord of the Rings: The Two Towers,13,7,0.71
2010,0,18,0,46.15,Tiger Woods PGA Tour 11,0,7,0.54
2001,2,281,8,25.5,The Mummy Returns,6,20,0.5
2007,2,221,6,31.5,Medal of Honor: Vanguard,0,7,0.09
2013,3,1065,1,20.45,Putty Squad,9,295,0.16
2006,2,775,11,26.4,SNK vs. Capcom Card Fighters DS,3,153,0.1
2002,0,223,0,43.15,World Tour Soccer 2003,6,3,0.14
2011,2,883,3,34.25,Unchained Blades ,16,242,0.06
2004,2,342,8,36.65,Tron 2.0: Killer App,13,32,0.06
2011,1,355,10,43.55,Catherine,5,41,0.7
2001,2,210,7,49.3,Star Wars Rogue Leader: Rogue Squadron II,19,18,1.9
2003,2,507,2,31.0,WWE Crush Hour,19,28,0.08
2010,2,1117,5,18.25,Power Gig: Rise of the SixString,5,53,0.14
2012,2,496,9,45.15,Persona 4: Arena,4,91,0.13
2005,2,7,6,48.55,Call of Duty 2,4,4,2.03
2011,2,12,5,42.6,Rocksmith,4,5,1.12
2010,0,18,0,40.15,FIFA Soccer 11,0,7,1.07
2005,0,35,0,41.6,NCAA March Madness 06,13,7,0.2
2007,2,48,10,43.05,Apollo Justice: Ace Attorney,3,12,0.99
2008,0,233,5,44.65,Patapon 2,16,3,0.1
2002,2,325,3,41.75,.hack//Infection Part 1,6,10,1.27
2008,0,247,0,37.75,We Ski,0,25,1.67
2001,0,398,0,42.05,MLB 2002,12,3,0.43
2000,1,370,3,48.4,Diablo II,14,321,0.13
2007,2,45,8,36.25,Metal Gear Solid: Portable Ops Plus,16,14,0.69
2001,0,1172,1,40.4,Looney Tunes: Sheep Raider,12,52,0.12
2006,2,300,8,29.75,X-Men: The Official Game,6,4,0.41
2009,2,67,3,40.15,Marvel: Ultimate Alliance 2,4,4,0.9
2009,1,124,6,43.4,F.E.A.R. 2: Project Origin,14,19,0.07
2010,2,159,8,32.9,The Lord of the Rings: Aragorn's Quest,0,19,0.23
2015,2,797,3,43.85,Stella Glow,10,91,0.24
2004,0,288,8,49.0,The Legend of Zelda: The Minish Cap,8,0,1.42
1999,2,503,11,30.0,Digimon Digital Card Battle,12,25,0.11
2015,0,69,0,47.05,Pro Evolution Soccer 2016,9,14,0.79
2009,3,191,3,39.05,Final Fantasy: The 4 Heroes of Light,3,15,0.58
2004,0,103,1,36.55,Spyro: A Hero's Tail,13,23,0.14
2009,2,143,8,31.25,Indiana Jones and the Staff of Kings,6,4,0.28
2011,1,321,8,36.55,The Lord of the Rings: War in the North,14,19,0.19
2015,0,254,0,11.55,Rugby 15,17,340,0.09
2008,0,437,3,38.95,Fossil Fighters,3,0,0.89
2008,2,1208,2,22.15,Emergency Mayhem,0,34,0.02
2002,0,18,0,48.45,Tiger Woods PGA Tour 2003,6,7,1.64
2008,3,795,10,20.25,Goosebumps HorrorLand,0,118,0.16
2002,2,42,2,38.35,Stuntman,6,10,1.55
2001,2,665,9,45.1,Tekken Advance,8,52,0.45
2008,0,57,0,44.6,Tiger Woods PGA Tour 09,5,7,0.65
2006,2,36,11,45.75,The Lord of the Rings: The Battle for Middle-Earth II,14,7,0.02
2002,2,808,9,17.2,Bruce Lee: Quest of the Dragon,13,20,0.31
1997,2,346,9,45.45,Bushido Blade,12,3,1.16
2002,0,310,0,43.55,All-Star Baseball 2003,13,30,0.26
2009,2,1303,6,18.0,Mad Dog McCree: Gunslinger Pack,0,35,0.08
2016,2,1446,8,34.55,Metroid Prime: Federation Force,10,0,0.05
2006,0,186,1,37.4,The Legend of Spyro: A New Beginning,3,23,0.37
2011,2,633,3,37.2,DC Universe Online,5,75,0.51
2009,2,60,5,45.85,Guitar Hero 5,5,4,1.09
2009,2,231,8,43.75,Ghostbusters: The Video Game,4,10,0.63
2009,2,48,9,50.65,Street Fighter IV,5,12,4.16
2012,1,353,8,43.95,Sleeping Dogs,4,110,0.87
2015,3,1273,8,32.2,Pokemon Rumble World,10,0,0.09
2005,5,3,8,50.8,Grand Theft Auto: San Andreas,13,2,1.95
2010,2,374,6,40.0,Call of Duty: Black Ops,3,4,0.58
2012,0,421,0,47.25,MLB 12: The Show,5,3,0.92
2005,0,21,5,35.95,Mario Party 7,19,0,1.57
2002,1,313,8,43.95,The Mark of Kri,6,3,0.46
2006,0,18,0,35.75,NBA Live 07,16,7,0.51
2016,3,449,8,41.55,Worms: WMD,17,501,0.01
2010,2,187,6,36.2,James Bond 007: Blood Stone,5,4,0.7
2007,0,49,4,46.8,Professor Layton and the Curious Village,3,0,5.19
2006,1,73,6,47.05,Resistance: Fall of Man,5,3,4.34
2003,0,74,4,42.05,The Lost Vikings,8,4,0.05
2002,0,506,1,26.55,Spyro: Enter the Dragonfly,19,20,0.71
2005,0,362,2,22.0,Burnout Legends,3,7,0.18
2001,2,393,11,39.65,Kessen II,6,28,0.46
2005,1,181,8,33.9,True Crime: New York City,19,4,0.17
2002,2,48,9,38.45,Capcom vs. SNK 2 EO,19,12,0.11
2014,3,140,8,41.8,Skylanders: Trap Team,9,4,0.44
2016,2,841,3,41.75,Digimon Story: Cyber Sleuth,9,25,0.11
2013,2,188,8,38.25,Dynasty Warriors 8,5,48,0.6
2001,2,143,7,46.0,Star Wars: Starfighter,6,4,1.76
2010,0,293,7,39.7,The Sims 3,3,7,0.67
2016,2,180,5,45.5,Hatsune Miku: Project Diva X,22,8,0.12
2006,2,663,9,45.25,Bleach: The Blade of Fate,3,8,0.45
2005,0,276,0,44.6,Major League Baseball 2K5,13,2,0.56
2002,2,85,1,47.6,Castlevania: Harmony of Dissonance,8,14,0.26
2016,2,910,3,40.7,Superdimension Neptune vs Sega Hard Girls,22,342,0.03
2008,0,580,3,42.45,Rune Factory 2: A Fantasy Harvest Moon,3,70,0.52
2008,0,125,2,32.05,Sonic Riders: Zero Gravity,0,8,0.91
2016,1,127,6,46.5,Titanfall 2,14,7,0.08
2008,3,129,0,36.9,Sega Superstars Tennis,4,8,2.89
2007,2,188,8,33.7,Dynasty Warriors 6,4,48,0.3
2001,2,733,10,26.75,Warriors of Might and Magic,6,76,0.17
2010,0,306,2,45.3,F1 2010,14,34,0.05
2007,2,67,1,29.15,Spider-Man 3,0,4,0.47
2007,0,97,7,37.6,MySims,0,7,1.65
2003,1,48,8,35.15,Resident Evil 3: Nemesis,19,12,0.08
2015,1,171,8,40.9,Dying Light,17,19,1.29
2005,2,195,8,44.65,Peter Jackson's King Kong: The Official Game of the Movie,19,5,0.24
2016,3,1609,6,29.85,Touhou Genso Rondo: Bullet Ballet,9,131,0.02
2014,2,539,3,40.65,Freedom Wars,22,3,0.65
2011,3,843,8,33.75,Medieval Moves: Deadmund's Quest,5,3,0.28
2006,1,1599,8,33.8,Rule of Rose,6,11,0.02
2005,1,374,10,37.25,Geist,19,0,0.15
2005,2,827,7,41.35,Heroes of the Pacific,14,34,0.02
2011,2,395,7,39.4,Ace Combat: Assault Horizon Legacy,10,25,0.24
2005,2,357,8,40.2,ScrapLand,13,41,0.02
2007,2,395,7,43.95,Ace Combat 6: Fires of Liberation,4,10,1.01
2007,2,910,3,36.9,Record of Agarest War,5,145,0.07
2005,2,449,11,39.1,Worms 4: Mayhem,13,34,0.04
2016,0,18,0,43.45,Madden NFL 17,9,7,1.75
2014,1,501,6,40.2,Borderlands: The Pre-Sequel,4,2,0.72
2008,0,100,5,38.05,Samba De Amigo,0,8,0.88
2003,1,675,6,36.15,"Warhammer 40,000: Fire Warrior",6,28,0.15
2013,0,53,2,42.45,Forza Motorsport 5,17,1,2.2
2012,2,876,8,41.2,Tokyo Jungle,5,3,0.26
2007,3,800,11,36.85,The Settlers: Rise of an Empire,14,5,0.02
2015,2,289,8,41.45,Transformers: Devastation,17,4,0.14
2005,1,958,8,38.25,Evil Dead: Regeneration,6,28,0.21
2004,1,1011,10,37.2,Obscure,13,473,0.04
2010,2,829,11,30.7,Disciples III: Renaissance,14,206,0.02
2005,3,1355,11,20.3,Real Time Conflict: Shogun Empires,3,25,0.07
2002,0,6,8,41.65,Spider-Man: The Movie,19,4,1.19
2009,3,285,8,35.05,Harry Potter and the Half-Blood Prince,14,7,0.03
2010,2,899,3,44.15,Ys: The Oath in Felghana,16,251,0.15
2008,2,194,2,34.95,Need For Speed: Undercover,4,7,1.68
2009,0,22,10,43.3,MySims Agents,0,7,1.03
2011,2,285,8,26.8,Harry Potter and the Deathly Hallows - Part 2,0,7,0.33
2006,0,250,8,26.35,Happy Feet,0,39,0.14
1999,2,14,3,44.05,Final Fantasy Anthology,12,121,0.8
2005,3,22,8,36.9,Harry Potter and the Goblet of Fire,13,7,0.23
2013,1,183,6,37.85,The Bureau: XCOM Declassified,5,2,0.25
2011,1,180,8,30.9,Rise of Nightmares,4,8,0.47
2015,0,1114,7,46.95,Cities: Skylines,14,310,0.14
2009,3,749,0,36.55,NHL 2K10,5,2,0.15
2009,3,31,5,28.5,Just Dance,0,5,7.2
2007,0,215,3,35.45,Spectrobes,3,32,0.74
2004,1,341,8,42.9,The Suffering,13,39,0.22
2009,2,156,9,38.25,Legends of WrestleMania,5,28,0.54
2003,2,470,2,37.65,Freestyle Metal X,6,39,0.09
2008,0,12,8,35.0,Prince of Persia: The Fallen King,3,5,0.07
2016,2,29,1,39.2,Mirror's Edge Catalyst,14,7,0.06
2010,1,273,8,42.95,Dead Rising 2,4,12,1.49
2007,1,107,6,48.7,The Orange Box,5,7,1.06
2011,0,166,0,38.25,UFC Personal Trainer: The Ultimate Fitness System,4,28,0.77
2003,2,143,11,45.4,Gladius,19,4,0.07
2009,0,714,8,30.5,Ghostbusters: The Video Game,3,10,0.4
2014,1,45,8,40.7,Metal Gear Solid V: Ground Zeroes,17,14,0.29
2005,2,579,3,42.15,Makai Kingdom: Chronicles of the Sacred Tome,6,48,0.12
2006,2,298,8,44.55,Tomb Raider: Legend,6,21,0.52
2007,0,675,6,44.1,Geometry Wars: Galaxies,0,23,0.12
2009,2,775,9,33.6,The King of Fighters XII,4,153,0.11
2012,1,537,8,38.5,Lollipop Chainsaw,4,19,0.48
2001,0,1458,3,35.35,Hoshigami: Ruining Blue Earth,12,449,0.05
2013,3,195,1,49.1,Rayman Legends,4,5,0.43
2002,2,69,9,33.15,Rave Master,19,14,0.05
2003,1,624,8,34.1,Spawn: Armageddon,19,7,0.07
2006,0,51,3,38.1,Lost Magic,3,5,0.12
2006,0,193,2,27.35,Cars,8,28,1.13
2002,0,22,8,39.3,Harry Potter and the Chamber of Secrets,6,7,2.61
2012,1,331,8,25.9,Resident Evil: Operation Raccoon City,14,12,0.04
2014,1,625,3,38.85,Lords of the Fallen,17,15,0.22
2010,1,183,6,48.1,BioShock 2,5,2,1.54
2009,3,1375,7,21.7,IL-2 Sturmovik: Birds of Prey,3,11,0.06
2008,3,556,1,42.8,Klonoa,0,25,0.16
2013,2,325,9,42.45,Naruto Shippuden: Ultimate Ninja Storm 3,5,25,0.93
2011,1,35,9,46.7,Fight Night Champion,4,7,0.78
2009,0,51,6,44.55,Space Invaders Extreme 2,3,15,0.19
2008,1,100,6,25.8,Brothers in Arms: Double Time,0,5,0.13
2008,0,22,5,30.35,Monopoly,5,7,0.34
2006,3,349,3,29.65,Valhalla Knights,16,70,0.24
2002,2,823,0,39.45,Outlaw Golf,13,71,0.29
2003,0,83,0,49.75,ESPN NFL Football,6,8,0.56
2014,1,319,8,39.75,Assassin's Creed: Rogue,5,5,1.29
2001,2,106,8,38.4,Oni,6,2,0.53
2016,3,771,0,40.5,NHL 17,17,7,0.24
2007,2,379,9,41.0,Naruto: Clash of Ninja Revolution,0,99,1.01
2012,1,337,7,41.9,Zone of the Enders HD Collection,4,14,0.2
2002,2,558,6,41.2,Robotech: Battlecry,19,71,0.16
2011,2,12,0,13.0,Self-Defense Training Camp,4,5,0.12
2010,2,889,8,22.9,Prison Break: The Conspiracy,5,41,0.25
2005,0,0,5,40.7,Big Brain Academy,3,0,6.62
2009,2,790,0,39.4,Don King Boxing,3,2,0.08
2014,3,690,3,41.85,Atelier Shallie: Alchemists of the Dusk Sea,5,48,0.18
2007,2,1421,3,36.45,Izuna 2: The Unemployed Ninja Returns,3,88,0.06
2013,2,188,8,37.4,Dynasty Warriors 8: Xtreme Legends,5,48,0.16
2006,3,410,8,35.35,Barnyard,6,28,0.09
2007,2,188,8,30.2,Warriors Orochi,4,48,0.2
2002,1,298,8,37.9,Blood Omen 2,6,21,0.39
2008,0,164,2,46.35,Pure,4,32,2.47
2007,0,1391,7,39.8,Theme Park,3,7,0.06
2007,1,534,6,43.85,The Darkness,5,2,0.66
2002,1,513,8,48.55,Mafia,14,2,0.04
2007,2,188,8,31.6,Warriors Orochi,6,48,0.87
2004,2,213,8,33.5,King Arthur,6,14,0.13
2009,2,30,0,45.9,Skate 2,5,7,0.84
2007,3,1447,5,23.9,Furu Furu Park,0,94,0.05
2010,2,256,9,35.8,Dragon Ball Z: Tenkaichi Tag Team,16,25,0.26
2004,0,276,0,48.25,ESPN NHL 2K5,13,63,0.42
2005,0,32,0,42.3,Mario Superstar Baseball,19,0,1.46
2011,0,69,8,43.3,Pro Evolution Soccer 2012,5,14,2.19
