Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao
Walt Disney's The Jungle Book: Rhythm N'Groove,13,2000,6,3,0.09,0,0,0.0
Tears to Tiara Anecdotes: The Secret of Avalon,6,2009,12,315,0.04,0,0,0.0
NBA Jam Tournament Edition,8,1995,1,30,1.01,0,0,0.0
GunParade Orchestra: Shiro no Shou,7,2006,11,3,0.07,0,0,0.0
Lethal Skies II,7,2003,8,100,0.16,1053,3,36.5
BioShock The Collection,10,2016,7,2,0.37,737,2,46.25
Justice League Heroes: The Flash,9,2006,9,21,0.03,278,4,39.7
Fight Night Round 3,5,2006,10,7,1.47,252,3,47.4
Madden NFL 17,6,2016,1,7,0.12,18,1,0.1
300: March to Glory,17,2007,9,19,0.41,587,2,31.05
Paws & Claws: Dogs & Cats Best Friends,4,2007,8,28,0.5,0,0,0.0
Catwoman,7,2004,9,7,0.17,90,3,26.45
Burnout Dominator,17,2007,3,7,0.45,139,4,42.1
Murder in Venice,4,2011,11,86,0.08,347,4,0.0
Rhythm Heaven,4,2008,6,0,3.11,0,1,46.0
Summoner 2,7,2002,4,28,0.21,119,3,42.15
Kidou Senshi Gundam F91: Formula Senki 0122,8,1991,12,25,0.33,0,0,0.0
Kingdom Hearts 358/2 Days,4,2009,4,15,1.98,199,4,41.4
Super Heroine Chronicle,23,2014,4,25,0.05,0,0,0.0
.hack//Link,17,2010,4,25,0.14,0,0,0.0
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,7,2003,6,25,0.44,0,0,0.0
Hello Kitty Daily,4,2008,6,125,0.35,0,0,0.0
Call of Duty 2,5,2005,7,4,2.03,7,3,48.55
Utawarerumono: Itsuwari no Kamen,6,2015,11,315,0.05,0,0,0.0
Backyard Wrestling: Don't Try This at Home,14,2003,10,21,0.17,500,2,27.5
LEGO Star Wars: The Complete Saga,5,2007,9,18,2.57,50,4,43.7
Discworld II: Mortality Bytes!,13,1996,11,85,0.02,0,0,0.0
Guild 01,11,2012,9,37,0.05,0,0,0.0
NHL Hitz Pro,7,2003,1,39,0.19,68,1,43.95
Golden Sun,9,2001,4,0,1.76,226,1,50.15
Dragon's Lair Trilogy,1,2010,11,160,0.15,0,0,0.0
Dynasty Tactics 2,7,2003,12,48,0.11,393,3,43.55
Atlantis,16,1981,7,47,1.27,0,0,0.0
Outlaw Golf,20,2002,1,71,0.08,753,3,34.5
NBA 2K3,7,2002,1,8,1.05,83,1,48.5
Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,24,1995,6,8,0.05,0,0,0.0
Skylanders Giants,6,2012,9,4,1.06,140,4,41.65
Shinobi Koutsutsu,17,2014,11,323,0.01,0,0,0.0
Dark Tales: Edgar Allan Poe's The Premature Burial,15,2012,5,536,0.02,0,0,0.0
Blood Drive,5,2010,3,4,0.11,803,2,23.25
Pro Yaky? Spirits 2012,17,2012,1,14,0.2,0,0,0.0
Sacred 3,6,2014,4,41,0.1,1227,2,29.7
Are You Smarter than a 5th Grader? Game Time,4,2009,5,28,0.23,166,1,0.0
Urban Chaos,13,1999,9,21,0.1,0,0,0.0
Dragon Ball Z: Buu's Fury / Dragon Ball GT: Transformation,9,2006,9,10,0.02,0,0,0.0
Rugby League Live 3,6,2015,9,331,0.02,1013,0,0.0
Amped: Freestyle Snowboarding,14,2001,1,1,0.82,460,1,43.5
Who Wants to be a Millionaire: 1st Edition,1,2007,6,5,0.03,0,0,0.0
Battlestations: Pacific,5,2009,12,21,0.32,783,3,41.7
Micro Machines V4,7,2006,3,34,0.01,1208,1,35.4
Fuuraiki 3,23,2015,9,53,0.01,0,0,0.0
Atari's Greatest Hits: Volume 2,4,2011,6,10,0.06,0,0,0.0
G-Force,7,2009,9,32,0.27,103,4,0.0
Test Drive 6,13,1999,3,10,0.72,0,0,0.0
Cars: Race-O-Rama,17,2009,3,28,0.41,429,1,0.0
Street Fighter EX3,7,2000,10,17,0.85,371,3,35.95
SnoCross Championship Racing,13,1999,3,5,0.93,424,1,33.0
Castlevania: Lords of Shadow,5,2010,9,14,0.66,357,2,45.4
Mega Man Legacy Collection,10,2016,2,12,0.08,80,1,41.55
Trivial Pursuit unhinged,14,2004,6,10,0.09,875,3,33.0
The Legend of Zelda: Majora's Mask,12,2000,9,0,3.36,0,0,0.0
Shinseiki GPX Cyber Formula: Road To The INFINITY 4,7,2007,3,397,0.02,0,0,0.0
Pro Evolution Soccer 2010,7,2009,1,14,1.57,69,1,4.05
Monkey Island: Special Edition Collection,15,2011,11,18,0.17,0,0,0.0
Dance Central,5,2010,6,31,3.17,58,3,44.8
NBA 2K6,14,2005,9,2,0.36,83,1,46.35
The Godfather (US & Others sales),5,2006,9,7,0.24,0,0,0.0
XCOM 2,18,2016,12,2,0.05,246,3,47.55
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,6,2016,6,25,0.02,0,0,0.0
Kuroko's Basketball: Ties to Future,11,2015,9,25,0.09,0,0,0.0
Pac-Man Party 3D,11,2011,6,25,0.15,145,1,24.2
Cruis'n USA,12,1996,3,0,1.74,0,0,0.0
Duke Nukem: Total Meltdown,13,1997,7,13,0.61,0,0,0.0
A Bug's Life,13,1998,2,3,2.79,0,0,0.0
Mickey's Speedway USA (weekly JP sales),12,2000,3,0,0.1,0,0,0.0
Hot Wheels Ultimate Racing,17,2007,9,4,0.1,1234,1,30.0
Def Jam Icon,6,2007,9,7,0.42,252,2,36.2
Bakugan: Battle Trainer,4,2010,9,4,0.13,0,0,0.0
Creeper World 3: Arc Eternal,1,2009,12,25,0.1,0,0,0.0
Resident Evil Archives: Resident Evil,1,2008,9,12,0.3,48,2,42.45
NBA Live 07,5,2006,1,7,0.46,18,1,31.95
Imagine: Movie Star,4,2008,8,5,0.34,770,1,0.0
Point Blank DS (US sales),4,2006,7,10,0.06,0,0,0.0
de Blob 2,6,2011,2,28,0.21,410,4,40.55
Extreme-G,12,1997,3,30,0.59,0,0,0.0
Legend of Kay Anniversary,19,2015,9,128,0.01,1581,4,37.05
Star Trek: The Game,5,2013,9,25,0.21,0,0,0.0
Dynasty Warriors: Strikeforce,17,2009,9,116,0.45,188,3,35.9
Dragon Ball Z: Sagas,20,2005,10,10,0.21,260,3,27.3
Def Jam Fight For NY: The Takeover,17,2006,9,7,0.09,203,2,43.6
Mad Max (2015),18,2015,9,19,0.48,0,0,0.0
Mario Party 5,20,2003,6,0,2.08,21,1,38.6
Kid Icarus: Uprising,11,2012,9,0,1.27,323,4,45.85
Kirby's Adventure,2,1993,2,0,1.75,0,0,0.0
White Album: Tsuzurareru Fuyu no Omoide,6,2010,11,315,0.05,0,0,0.0
Final Fantasy II,26,2001,4,9,0.25,0,0,0.0
Planet Monsters,9,2001,9,103,0.01,1638,1,33.5
Dakar 2: The World's Ultimate Rally,20,2003,3,30,0.03,0,0,0.0
Raving Rabbids: Travel in Time,1,2010,11,5,0.75,12,4,34.8
WipeOut 3 The Game,11,2012,9,4,0.2,0,0,0.0
Metal Gear Solid,3,2000,9,14,0.07,0,0,0.0
F1 Challenge,24,1994,3,8,0.18,0,0,0.0
Kingdom Under Fire: Circle of Doom,5,2007,4,1,0.37,734,2,30.45
Dragon Ball Z: Budokai 2,7,2003,10,10,2.41,117,3,37.1
Taito Legends,7,2005,6,87,0.11,1188,3,34.0
Skate,5,2007,1,7,0.71,30,3,47.2
NFL GameDay 2002,7,2001,1,3,0.38,725,1,27.8
Rise of Flight: Iron Cross Edition,15,2010,8,542,0.01,1665,4,3.95
World Tour Soccer 2003,7,2002,1,3,0.14,223,1,43.15
Jikkyou Powerful Pro Yakyuu 13 Ketteiban,7,2006,1,14,0.11,0,0,0.0
MotionSports: Adrenaline,5,2011,1,5,0.27,861,1,24.2
Top Gear Rally 2,12,1999,3,188,0.11,0,0,0.0
.hack: Sekai no Mukou ni + Versus,6,2012,9,25,0.03,0,0,0.0
Metroid,2,1986,9,0,2.73,0,0,0.0
Need for Speed Underground 2,4,2005,3,7,0.13,35,1,36.0
Tony Hawk's American Sk8land,9,2005,1,4,0.24,67,1,34.7
Ys: The Ark of Napishtim,17,2006,4,14,0.05,1462,4,35.65
Bleach DS 4th: Flame Bringer,4,2009,9,8,0.03,0,0,0.0
Karaoke Revolution Presents American Idol Encore 2,1,2008,6,14,0.32,281,4,0.0
Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,4,2006,6,0,0.05,0,0,0.0
Unreal Anthology,15,2006,7,39,0.02,1210,2,4.4
Fallout 3,5,2008,4,6,4.93,17,2,50.75
Best Friends Tonight,4,2010,6,5,0.03,12,4,0.0
Gal*Gun,5,2011,7,79,0.04,0,0,0.0
NHL 2K11,1,2010,1,2,0.27,83,4,33.9
Tiger Woods PGA Tour 2005,20,2004,1,7,0.14,18,1,44.0
Ninja Gaiden Sigma,6,2007,9,21,1.14,225,2,47.75
PenPen TriIceLon,22,1998,3,52,0.06,0,0,0.0
Tomb Raider: Anniversary,17,2007,9,21,0.57,298,3,43.1
Looney Tunes: Galactic Sports,23,2015,9,3,0.03,137,0,0.0
Gears of War 4,18,2016,7,1,1.35,304,2,45.1
Custer's Revenge,16,1981,9,119,0.82,0,0,0.0
Resident Evil: Survivor,13,2000,9,21,0.71,48,2,23.0
LEGO Harry Potter: Years 5-7,23,2012,9,19,0.18,50,4,35.4
LEGO Jurassic World,6,2015,9,19,0.85,182,4,3.7
Petz Rescue: Wildlife Vet,4,2008,8,5,0.38,322,1,0.0
All Grown Up!: Game Boy Advance Video Volume 1,9,2004,6,0,0.24,0,0,0.0
The Wonderful 101,19,2013,9,0,0.4,289,3,43.25
Steins;Gate,6,2012,11,148,0.06,1386,2,45.85
Enthusia Professional Racing,7,2005,3,14,0.15,69,1,38.8
NASCAR The Game: Inside Line,6,2012,3,4,0.08,453,1,40.25
Revolution: 25th Anniversary Collection,15,2016,11,101,0.02,907,0,0.0
Time Travelers,23,2012,11,37,0.05,0,0,0.0
Monster 4x4: Stunt Racer,1,2009,3,5,0.18,12,1,2.6
Star Wars: Bounty Hunter,20,2002,7,18,0.26,143,3,37.3
Red Dead Revolver,7,2004,7,2,1.45,39,2,40.4
Vanishing Point,13,2001,3,30,0.1,1240,1,34.0
Codename: Kids Next Door: Game Boy Advance Video Volume 1,9,2004,6,0,0.17,0,0,0.0
Rosco McQueen: Firefighter Extreme,13,1997,9,3,0.09,0,0,0.0
SNK vs. Capcom: The Match of the Millennium,7,2006,10,8,0.14,0,0,0.0
Major League Baseball 2K12,5,2012,1,2,0.5,83,1,37.2
Lunar Knights,4,2006,4,14,0.23,45,4,44.9
Pokemon Gold/Pokemon Silver,3,1999,4,0,23.1,0,0,0.0
World Driver Championship,12,1999,3,39,0.17,0,0,0.0
Wipeout: The Game,1,2009,6,51,2.06,0,0,0.0
Ferrari: The Race Experience,1,0,3,158,0.01,1065,1,27.0
Resonance of Fate,6,2010,4,8,0.73,236,3,40.0
Worms Blast,20,2002,5,5,0.06,449,1,32.5
Dead Rising 2,10,2016,9,12,0.03,273,2,44.3
World Class Track Meet,2,1986,1,25,3.08,0,0,0.0
Deal or No Deal,4,2007,6,51,1.7,240,1,10.95
"Crouching Tiger, Hidden Dragon",14,2003,9,5,0.01,272,3,26.0
Sly Cooper and the Thievius Raccoonus,7,2002,2,3,1.21,128,1,47.3
NHL 12,6,2011,1,7,0.58,22,4,46.75
Naruto Shippuden: Ultimate Ninja 5,7,2007,10,25,0.17,0,0,0.0
Evangelion: Jo,7,2009,9,25,0.03,0,0,0.0
Ride 2,10,2016,3,452,0.05,723,1,39.5
NatGeo Challenge! Wild Life,5,2010,6,195,0.03,0,0,0.0
Outlaw Golf 2,14,2004,1,63,0.21,753,2,37.0
Barbarian,7,2002,10,103,0.14,671,3,31.5
Harry Potter and the Order of the Phoenix,17,2007,9,7,0.37,107,4,29.8
F-14 Tomcat,9,2001,9,35,0.7,512,1,33.5
Paws & Claws: Pampered Pets 2,4,2011,8,28,0.06,0,0,0.0
Kingdom Hearts: Chain of Memories,9,2004,4,15,1.85,215,1,41.95
Virtua Quest,7,0,4,53,0.02,250,3,30.3
Just Cause 2,15,2010,9,15,0.12,214,2,45.85
The Dark Spire,4,2008,4,88,0.04,1333,4,38.35
Orcs & Elves,4,2007,4,7,0.05,0,0,0.0
Fox Sports Golf '99,13,1997,1,264,0.14,0,0,0.0
Ribbit King,7,2003,1,10,0.09,503,1,32.25
NightTruth: Explanation of the Paranormal - The Making of Nighttruth: Voice Selection,24,1996,6,468,0.02,0,0,0.0
Bleach: Heat the Soul,17,2005,10,3,0.09,0,0,0.0
NHL Slapshot,1,0,1,53,0.42,18,1,42.05
Frogger Beyond,20,2002,2,14,0.13,69,1,33.6
Puzzle & Dragons Z + Super Mario Bros. Edition,11,2015,5,0,0.48,0,0,0.0
Gretzky NHL 2005,7,2004,1,3,0.17,367,1,37.55
Mortal Kombat X,18,2015,10,19,1.38,141,2,46.65
Ratchet & Clank Future: Quest for Booty,6,2008,2,3,0.09,0,0,0.0
DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,4,2006,6,269,0.2,0,0,0.0
Pokémon Yellow: Special Pikachu Edition,3,1998,4,0,14.64,0,0,0.0
Lionel Trains: On Track,4,2006,9,290,0.04,375,1,23.5
Punch-Out!!,1,2007,1,0,0.27,0,0,0.0
Resident Evil 2: Dual Shock Edition,13,1998,9,12,0.27,0,0,0.0
Twinkle * Crusaders GoGo!,17,2010,11,430,0.02,0,0,0.0
Harry Potter and the Deathly Hallows - Part 2,4,2011,9,7,0.21,192,4,27.5
ZhuZhu Pets 2: Featuring The Wild Bunch,4,2010,8,4,0.54,242,1,0.0
Rugby 06,7,2006,1,7,0.05,35,1,38.9
Need for Speed Underground,15,2003,3,7,0.05,168,1,45.15
Transformers: Prime,11,2012,9,4,0.17,0,0,0.0
MechWarrior 2: 31st Century Combat,13,1997,8,4,0.36,0,0,0.0
Ride to Hell,5,2013,3,41,0.06,1419,2,10.15
Kirby's Return to Dreamland,1,2011,2,0,1.65,34,4,42.75
Winning Post 7 2010,17,2010,1,48,0.05,0,0,0.0
LEGO Jurassic World,11,2015,9,19,0.62,182,4,3.6
BMX XXX,7,2002,1,30,0.15,300,2,29.3
MySims SkyHeroes,5,2010,9,7,0.1,592,4,30.75
Net High,23,2015,11,538,0.02,0,0,0.0
Project Setsuna,10,2016,4,15,0.06,0,0,0.0
Dai-2-Ji Super Robot Taisen OG,6,2012,12,25,0.3,0,0,0.0
Rampage World Tour,12,1998,9,13,0.45,0,0,0.0
Sotsugyou II: Neo Generation,13,1995,8,454,0.04,0,0,0.0
Samurai Warriors Chronicles 3,11,2014,9,48,0.08,188,3,34.55
Who wants to be a millionaire,13,2000,6,21,0.8,0,0,0.0
Bayonetta 2,19,2014,9,0,0.76,289,2,49.6
Battle vs. Chess,5,2011,6,459,0.03,1473,3,0.0
WWE '12,5,2011,10,28,1.27,156,3,38.65
Mario Party,12,1998,6,0,2.7,0,0,0.0
Shrek: Hassle at the Castle,9,2002,9,71,0.66,91,1,39.2
007: Quantum of Solace,7,2008,9,4,0.43,0,0,0.0
Shining Blade,17,2012,4,8,0.2,0,0,0.0
Speed,1,2010,3,53,0.06,713,1,0.0
Yuusha Shisu.,23,2016,4,131,0.03,0,0,0.0
Deus Ex: Human Revolution,19,2013,7,15,0.11,0,0,0.0
Dead Rising 2,6,2010,9,12,1.36,273,2,43.35
Peggle: Dual Shot,4,2009,5,209,0.12,677,1,46.1
SingStar Mallorca Party,6,2009,6,3,0.05,0,0,0.0
Dr. Mario 64,12,2001,5,0,0.42,0,0,0.0
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,23,2012,9,14,0.04,0,0,0.0
WCW Nitro,12,1998,10,28,0.21,0,0,0.0
Winning Post 8 2016,23,2016,8,48,0.01,0,0,0.0
Muppets Party Cruise,7,2003,6,71,0.06,74,1,34.5
The Legend of Heroes VII: The Trail of Blue,23,2014,4,246,0.06,0,0,0.0
Mobile Suit Gundam: Extreme VS Force,23,2015,9,25,0.17,247,4,32.15
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,11,2016,4,138,0.03,0,0,0.0
Geon Cube,1,2009,5,217,0.02,1603,1,0.0
Dungeon Travelers 2: The Royal Library & The Monster Seal,23,2014,4,91,0.1,0,0,0.0
Tomoyo After: It's a Wonderful Life CS Edition,17,2009,11,436,0.04,0,0,0.0
Gran Turismo 3: A-Spec,7,2001,3,3,14.98,4,1,51.7
The Simpsons: Road Rage,7,2001,3,7,3.61,94,3,35.85
Archer Maclean Presents: Pool Paradise,7,2004,1,153,0.06,0,0,0.0
Colosseum: Road to Freedom,7,2005,4,48,0.07,1353,2,32.15
Crimson Gem Saga,17,2008,4,8,0.06,1377,3,42.75
Bubble Bobble Double Shot,4,2007,5,70,0.04,457,1,27.4
Shaun White Snowboarding,17,2008,1,5,0.32,12,4,38.75
Imagine: Teacher Class Trip,4,2009,11,5,0.24,239,1,0.0
Shin Chan: Las Nuevas Aventuras Para Wii!,1,2006,9,11,0.07,0,0,0.0
Burning Road,13,1996,3,334,0.12,0,0,0.0
Pirates PlundArrr,1,2010,9,35,0.02,1656,4,30.0
Rygar: The Legendary Adventure,7,2002,9,172,0.46,378,3,45.7
DDRMAX2: Dance Dance Revolution,7,2003,8,14,1.81,69,1,45.1
TV Superstars,6,2010,6,3,0.25,813,1,30.45
Call of Duty 4: Modern Warfare,6,2007,7,4,6.68,7,2,51.2
Vexx,7,2003,2,30,0.24,483,3,35.3
Crayon Shin-Chan: Arashi o Yobu Enji,8,1993,2,25,0.46,0,0,0.0
OverBlood,13,1996,9,7,0.32,0,0,0.0
Mario & Luigi: Bowser's Inside Story,4,2009,4,0,3.77,0,0,0.0
The Terminator: Dawn of Fate,7,2002,9,10,0.41,251,3,31.85
2 Games in 1: Sonic Battle & ChuChu Rocket!,9,2005,6,28,0.61,0,0,0.0
Grand Theft Auto IV,15,2008,9,2,0.88,106,2,48.3
SSX Blur,1,2007,1,7,0.33,258,1,41.05
EarthBound,8,1994,4,0,0.81,0,0,0.0
Bleach: Heat the Soul 7,17,2010,10,3,0.08,0,0,0.0
Just Dance 2016,1,2015,6,5,0.95,12,4,0.0
Transformers: Fall of Cybertron,6,2012,9,4,0.39,72,3,42.6
NCAA Football 07,17,2006,1,7,0.37,18,1,41.45
Moshi Monsters: Moshling Zoo,4,2011,6,4,1.54,265,1,0.0
Crysis: Warhead,15,2008,7,7,0.02,297,2,45.95
Crafting Mama,4,2010,8,11,0.65,443,1,0.0
Yourself Fitness,7,2005,1,375,0.04,0,0,0.0
MLB SlugFest 20-03,20,2002,1,39,0.15,913,1,43.75
Dark Parables: The Exiled Prince,15,2011,5,53,0.01,1676,4,0.0
Arslan: The Warriors of Legend,18,2016,9,48,0.02,188,3,2.9
Drivers Ed Portable,4,2008,6,271,0.05,1337,1,0.0
Battle Spirits: Kiseki no Hasha,17,2009,4,25,0.02,0,0,0.0
The Legend of Spyro: The Eternal Night,7,2007,2,23,0.42,213,4,29.7
Otome wa Oanesama Boku ni Koi Shiteru Portable,17,2010,11,79,0.02,0,0,0.0
Tokumei Sentai Go-Busters,4,2012,9,25,0.04,0,0,0.0
FIFA World Cup: Germany 2006,9,2006,1,7,0.03,35,1,31.95
Dynasty Warriors Advance,9,2005,9,0,0.11,393,1,28.0
Caesar III,15,1998,12,23,0.03,1522,1,4.35
Jillian Michaels' Fitness Ultimatum 2009,1,2008,1,41,1.27,326,1,16.0
Whirl Tour,20,2002,1,23,0.05,211,1,35.0
Madagascar,14,2005,2,4,0.28,140,4,35.5
Kiniro no Corda 3,17,2010,11,48,0.09,0,0,0.0
NHL FaceOff 99,13,1997,1,43,0.43,0,0,0.0
WWE 2K14,6,2013,1,2,1.14,156,3,40.75
Crash Tag Team Racing,20,2005,3,23,0.16,311,4,36.65
SpongeBob SquarePants: Battle for Bikini Bottom,7,2003,2,28,1.67,172,1,40.0
EA Playground,4,2007,1,7,0.33,486,1,33.8
Nobunaga no Yabou DS,4,2006,12,48,0.01,0,0,0.0
Skylanders Giants,11,2012,9,4,0.14,374,4,32.0
Sengoku Basara: Sanada Yukimura-Den,10,2016,9,12,0.03,0,0,0.0
LEGO Indiana Jones: The Original Adventures,1,0,9,18,2.34,50,4,42.3
Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,4,2007,10,197,0.06,0,0,0.0
Injustice: Gods Among Us,5,2013,10,19,1.38,133,3,44.45
ATV Offroad Fury 2,7,2002,3,28,2.18,167,1,45.45
Harry Potter and the Deathly Hallows - Part 1,1,2010,9,7,0.54,22,3,23.0
Mortal Kombat Mythologies: Sub-Zero,13,1997,10,13,0.68,0,0,0.0
Indiana Jones and the Staff of Kings,17,2009,9,4,0.25,892,3,35.4
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",5,2009,7,4,0.63,0,0,0.0
Donkey Konga,20,2003,6,0,1.15,32,1,42.15
Muchi Muchi Pork & Pink Sweets,5,2011,7,360,0.02,0,0,0.0
Code Lyoko: Fall of X.A.N.A.,4,2008,11,102,0.08,1079,1,28.65
The Sims 3,4,2010,8,7,0.67,293,1,39.7
Still Life 2,15,2009,11,143,0.02,1642,2,36.35
Conflict: Global Terror,7,2005,7,21,0.19,262,2,35.25
Checkers,16,1980,6,10,0.24,0,0,0.0
Okage: Shadow King,7,2001,4,3,0.36,745,3,39.25
Harry Potter and the Goblet of Fire,20,2005,9,7,0.42,22,4,37.65
Prinny: Can I Really Be The Hero? (US sales),17,0,9,0,0.06,0,0,0.0
Derby Tsuku: Derby Uma o Tsukurou!,22,2000,1,8,0.08,0,0,0.0
Wantame Music Channel: Doko Demo Style,4,2007,6,12,0.13,0,0,0.0
Splatterhouse,5,2010,9,25,0.18,314,2,34.8
The Lord of the Rings: War in the North,15,2011,9,19,0.19,321,2,36.55
.hack//Outbreak Part 3,7,2002,4,10,0.46,325,3,39.35
Shining Wind,7,2007,4,8,0.13,0,0,0.0
Chibi-Robo! Zip Lash,11,2015,2,0,0.24,0,0,0.0
SoulCalibur Legends,1,2007,9,25,0.18,145,3,28.85
Pokemon Ranger: Shadows of Almia,4,2008,4,0,2.28,178,1,38.1
Dead to Rights: Retribution,6,2010,7,25,0.28,840,2,32.95
Digimon Story: Cyber Sleuth,23,2015,4,25,0.17,841,3,4.4
Escape The Museum,4,2010,11,279,0.18,1020,1,0.0
Destiny: The Collection,10,2016,7,4,0.24,13,3,4.05
G-Force,1,2009,9,32,0.44,103,4,38.5
Metro 2033,15,2010,7,28,0.24,606,2,44.55
Katekyoo Hitman Reborn! Kindan no Yami no Delta,7,2008,9,214,0.02,0,0,0.0
NASCAR Heat,13,2000,3,27,0.39,412,1,31.0
Rock Band Country Track Pack,1,2009,6,31,0.44,58,4,0.0
Bladestorm: The Hundred Years' War,5,2007,9,48,0.09,188,3,34.9
MLB 08: The Show,6,2008,1,3,0.7,421,1,46.85
Dynasty Warriors 7: Empires,6,2012,9,116,0.14,188,3,35.5
Unsolved Crimes,4,2008,11,87,0.05,301,3,33.0
Monster Hunter Frontier Online: Season 9.0,5,2010,4,12,0.04,0,0,0.0
F.E.A.R. 3,6,2011,7,19,0.45,351,2,40.55
One Piece: Super Grand Battle! X,11,2014,10,25,0.12,0,0,0.0
F.E.A.R.,6,2007,7,23,0.54,351,2,39.7
Tomb Raider,15,1996,9,21,1.03,385,2,47.25
Anubis II,1,2007,2,139,0.07,894,1,10.85
Hellboy: The Science of Evil,5,2008,9,14,0.11,213,3,24.85
Littlest Pet Shop: City Friends,4,2009,8,7,0.32,22,1,0.0
Tak: The Great Juju Challenge,14,2005,2,28,0.07,260,1,37.5
Sleeping Dogs,15,2012,9,110,0.12,353,2,44.6
Dragon Quest Monsters: Terry's Wonderland 3D,11,2012,4,15,0.96,0,0,0.0
Legends of Wrestling,7,2001,10,30,0.76,0,0,0.0
Lethal Enforcers,8,1993,7,14,0.09,0,0,0.0
Lilie no Atelier: Salburg no Renkinjutsushi 3,7,2001,4,243,0.09,0,0,0.0
Fantastic Four: Rise of the Silver Surfer,1,2007,9,2,0.05,641,3,22.45
Spec Ops: Airborne Commando,13,2002,7,2,2.07,0,0,0.0
The Tale of Despereaux,7,2008,2,205,0.35,759,4,0.0
Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,17,2009,9,392,0.07,0,0,0.0
Monster Hunter 4 Ultimate,11,2014,4,0,3.89,48,3,47.35
Rayman Origins,6,2011,2,5,1.0,399,4,47.7
Olympic Soccer: Atlanta 1996,13,1996,1,325,0.05,0,0,0.0
D.C. II P.S.: Da Capo II Plus Situation,7,2008,11,154,0.06,0,0,0.0
Iron Chef America: Supreme Cuisine,4,2008,8,160,0.19,375,4,0.0
Dragon Ball Z: Budokai 3,7,2004,10,10,1.94,117,3,42.95
Pilotwings,8,1990,8,0,1.14,0,0,0.0
Accel World: Ginyoku no Kakusei,17,2012,11,25,0.03,0,0,0.0
International Superstar Soccer '98,12,1998,1,14,0.58,0,0,0.0
NBA Live 07,17,2006,1,7,0.51,18,1,35.75
Point Blank 2,13,1998,7,25,0.04,0,0,0.0
Karaoke Revolution Presents American Idol Encore,6,2008,6,14,0.09,281,1,3.3
G.I. Joe: The Rise of Cobra,7,2009,9,7,0.14,105,3,26.15
Toukiden Kiwami,10,2015,9,48,0.17,1023,3,40.8
Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,23,2015,12,48,0.02,0,0,0.0
Shape Up,18,2014,6,5,0.18,52,1,33.15
Pen 1 Grand Prix: Penguin no Mondai Special,4,2009,10,14,0.16,0,0,0.0
Jake Hunter Detective Story: Memories of the Past,4,2007,11,148,0.11,1198,3,36.0
TV Total Events,1,2011,6,522,0.02,0,0,0.0
Chili Con Carnage,17,2007,7,21,0.02,1264,2,41.1
ThunderStrike 2,13,1994,8,277,0.19,0,0,0.0
Spider-Man: The Movie,9,2002,9,4,1.33,0,0,0.0
Killzone 2,6,2009,7,3,3.01,120,2,49.55
PokePark 2: Wonders Beyond,1,2011,9,0,0.75,315,1,33.5
Dead or Alive 5,10,2015,10,48,0.34,0,0,0.0
Dungeons & Dragons: Neverwinter Nights - Complete,15,2011,6,10,0.01,0,0,0.0
Young Justice: Legacy,11,2013,9,25,0.03,245,4,3.55
Rayman 10th Anniversary,9,2005,2,5,0.02,0,0,0.0
"Sakura Wars 4: Koi Seyo,Otome",22,2002,11,8,0.29,0,0,0.0
Jump Ultimate Stars,4,2006,10,0,0.74,0,0,0.0
Samurai Warriors 2,6,2013,9,48,0.03,0,0,0.0
Dancing With The Stars,7,2007,6,4,0.16,275,4,0.0
Tony Hawk's Pro Skater 5,5,2015,1,4,0.07,562,3,1.4
The Idolmaster: Gravure For You! Vol. 4,6,2012,6,25,0.03,0,0,0.0
Grudge Warriors,13,1999,9,2,0.41,0,0,0.0
Mortal Kombat: Special Forces,13,2000,10,39,0.21,162,2,15.2
The Book of Unwritten Tales,15,2009,11,358,0.1,1226,3,45.1
Warriors Orochi 2,5,2008,9,48,0.06,188,3,26.05
Tropico 4,15,2011,12,206,0.27,760,3,42.85
Jurassic: The Hunted,5,2009,7,4,0.13,242,3,33.6
Ski Region Simulator,15,2011,8,316,0.06,408,0,0.0
RollerCoaster Tycoon World,15,2016,8,10,0.02,1619,1,22.7
Yoshi's Cookie,3,1992,5,0,1.68,0,0,0.0
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,9,2004,9,28,0.5,429,1,28.0
Interactive Storybook DS Series 3,4,2007,6,406,0.02,882,1,0.0
Metal Gear Solid: The Essential Collection,7,2007,11,14,0.46,69,2,4.45
L.A. Noire: The Complete Edition,15,2011,11,2,0.25,25,2,45.45
